DUMMY,taxon_order,category,species_code,primary_com_name,sci_name
,9779,species,packin1,Pacific Kingfisher,Todiramphus sacer
,9780,issf,colkin5,Pacific Kingfisher (Vanuatu),Todiramphus sacer [juliae Group]
,9786,issf,colkin7,Pacific Kingfisher (South Pacific),Todiramphus sacer [sacer Group]
,9790,issf,colkin8,Pacific Kingfisher (Solomon Is.),Todiramphus sacer [solomonis Group]
,9801,issf,sackin6,Pacific Kingfisher (Fiji),Todiramphus sacer [vitiensis Group]
,9805,issf,packin2,Pacific Kingfisher (Lau),Todiramphus sacer marinus
,9806,species,mickin4,Palau Kingfisher,Todiramphus pelewensis
,9807,species,mickin1,Guam Kingfisher,Todiramphus cinnamominus
,9808,species,mickin5,Pohnpei Kingfisher,Todiramphus reichenbachii
,9809,species,flbkin1,Flat-billed Kingfisher,Todiramphus recurvirostris
,9810,species,colkin17,Colonist Kingfisher,Todiramphus colonus
,9811,species,colkin9,Torresian Kingfisher,Todiramphus sordidus
,9815,species,sackin1,Sacred Kingfisher,Todiramphus sanctus
,9816,issf,sackin2,Sacred Kingfisher (Australasian),Todiramphus sanctus sanctus
,9817,issf,sackin4,Sacred Kingfisher (New Caledonian),Todiramphus sanctus canacorum
,9818,issf,sackin5,Sacred Kingfisher (Loyalty Is.),Todiramphus sanctus macmillani
,9819,issf,sackin3,Sacred Kingfisher (New Zealand),Todiramphus sanctus vagans
,9820,species,colkin1,Collared Kingfisher,Todiramphus chloris
,9821,issf,colkin10,Collared Kingfisher (Red Sea),Todiramphus chloris abyssinicus
,9822,issf,colkin12,Collared Kingfisher (Arabian),Todiramphus chloris kalbaensis
,9823,issf,colkin4,Collared Kingfisher (Oriental),Todiramphus chloris [humii Group]
,9828,issf,colkin14,Collared Kingfisher (Nicobar Is.),Todiramphus chloris occipitalis
,9829,issf,colkin3,Collared Kingfisher (Collared),Todiramphus chloris [chloris Group]
,9837,species,beakin2,Beach Kingfisher,Todiramphus saurophagus
,9838,issf,beakin3,Beach Kingfisher (Beach),Todiramphus saurophagus saurophagus
,9839,issf,beakin1,Beach Kingfisher (Admiralty Is.),Todiramphus saurophagus admiralitatis
,9840,species,colkin2,Mariana Kingfisher,Todiramphus albicilla
,9844,species,melkin1,Melanesian Kingfisher,Todiramphus tristrami
,9845,issf,colkin13,Melanesian Kingfisher (St. Matthias Is.),Todiramphus tristrami matthiae
